adm_cd,adm_nm,자치구,전세가율,고전세가율비율,거래건수
1171051000,풍납1동,송파구,58.53,17.2,238
1171052000,풍납2동,송파구,58.53,17.2,238
1135070000,상계8동,노원구,58.44,21.7,553
1135067000,상계5동,노원구,58.44,21.7,553
1135069500,상계6.7동,노원구,58.44,21.7,553
1135066500,상계3.4동,노원구,58.44,21.7,553
1135064000,상계2동,노원구,58.44,21.7,553
1135063000,상계1동,노원구,58.44,21.7,553
1135071000,상계9동,노원구,58.44,21.7,553
1135072000,상계10동,노원구,58.44,21.7,553
1120055000,사근동,성동구,58.14,18.7,236
1159068000,신대방제2동,동작구,57.72,15.1,364
1159067000,신대방제1동,동작구,57.72,15.1,364
1120056000,행당제1동,성동구,57.05,21.7,189
1120057000,행당제2동,성동구,57.05,21.7,189
1159060500,흑석동,동작구,56.93,13.8,116
1159066000,대방동,동작구,56.92,16.6,343
1129052500,성북동,성북구,56.82,8.6,490
1165053000,서초3동,서초구,56.61,14.1,3455
1156067000,신길제5동,영등포구,56.43,11.2,1178
1117068500,한남동,용산구,56.31,10.7,168
1159063000,사당제2동,동작구,56.29,14.7,1473
1159064000,사당제3동,동작구,56.27,14.9,1439
1159065100,사당제5동,동작구,56.27,14.9,1439
1159062000,사당제1동,동작구,56.27,14.9,1439
1159065000,사당제4동,동작구,56.27,14.9,1439
1171068000,잠실3동,송파구,55.89,13.6,1309
1171067000,잠실2동,송파구,55.89,13.6,1309
1171065000,잠실본동,송파구,55.89,13.6,1309
1171072000,잠실7동,송파구,55.89,13.6,1309
1121581000,광장동,광진구,55.84,7.8,167
1130559500,번1동,강북구,55.51,10.9,412
1130560300,번2동,강북구,55.51,10.9,412
1130560800,번3동,강북구,55.51,10.9,412
1153059500,가리봉동,구로구,55.43,11.5,209
1171053100,거여1동,송파구,55.36,16.4,318
1171064700,위례동,송파구,55.36,16.4,318
1171053200,거여2동,송파구,55.36,16.4,318
1141065500,홍제제2동,서대문구,55.16,10.3,427
1141064000,홍제제3동,서대문구,55.16,10.3,427
1141062000,홍제제1동,서대문구,55.16,10.3,427
1120064500,옥수동,성동구,55.11,14.8,27
1130554500,송중동,강북구,54.98,14.6,1115
1130553500,미아동,강북구,54.98,14.6,1115
1130557500,삼각산동,강북구,54.98,14.6,1115
1130553400,삼양동,강북구,54.98,14.6,1115
1130555500,송천동,강북구,54.98,14.6,1115
1129066000,길음제1동,성북구,54.86,17.9,39
1165065200,양재2동,서초구,54.83,4.2,1895
1165065100,양재1동,서초구,54.79,4.3,2037
1171061000,삼전동,송파구,54.47,8.8,1644
1138053000,불광제2동,은평구,54.38,10.7,1490
1138052000,불광제1동,은평구,54.38,10.7,1490
1144068000,합정동,마포구,54.37,6.8,1125
1156068000,신길제6동,영등포구,54.19,7.0,875
1156069000,신길제7동,영등포구,54.19,7.0,875
1156065000,신길제3동,영등포구,54.19,7.0,875
1156066000,신길제4동,영등포구,54.19,7.0,875
1156063000,신길제1동,영등포구,54.19,7.0,875
1168069000,개포4동,강남구,54.18,3.5,866
1168066000,개포1동,강남구,54.18,3.5,866
1165061000,방배2동,서초구,54.02,7.5,2351
1165062100,방배4동,서초구,54.02,7.5,2351
1165059000,방배본동,서초구,54.02,7.5,2351
1165060000,방배1동,서초구,54.02,7.5,2351
1165062000,방배3동,서초구,54.02,7.5,2351
1123053600,용신동,동대문구,53.47,10.2,472
1153080000,항동,구로구,52.64,15.5,71
1156051500,영등포본동,영등포구,52.64,6.4,980
1138065000,수색동,은평구,52.25,4.5,155
1147068000,신정7동,양천구,52.2,10.2,1056
1147065000,신정4동,양천구,52.2,10.2,1056
1147064000,신정3동,양천구,52.2,10.2,1056
1147063000,신정2동,양천구,52.2,10.2,1056
1147067000,신정6동,양천구,52.2,10.2,1056
1147062000,신정1동,양천구,52.2,10.2,1056
1153079000,수궁동,구로구,51.73,16.4,492
1174052000,상일동,강동구,50.95,5.8,172
1174051500,강일동,강동구,50.95,5.8,172
1165055000,반포본동,서초구,50.82,6.4,862
1165058100,반포4동,서초구,50.82,6.4,862
1165057000,반포2동,서초구,50.82,6.4,862
1165056000,반포1동,서초구,50.82,6.4,862
1144065500,서강동,마포구,50.63,11.5,346
1174055000,고덕제1동,강동구,50.51,0.8,388
1174056000,고덕제2동,강동구,50.51,0.8,388
1141071000,북가좌제1동,서대문구,50.27,11.8,676
1141072000,북가좌제2동,서대문구,50.27,11.8,676
1123057000,전농제2동,동대문구,49.67,5.1,647
1123056000,전농제1동,동대문구,49.67,5.1,647
1156058500,도림동,영등포구,49.63,2.2,231
1120079000,용답동,성동구,49.34,5.3,546
1168070000,세곡동,강남구,48.9,1.3,77
1111067000,창신제1동,종로구,48.88,12.3,204
1111069000,창신제3동,종로구,48.88,12.3,204
1111068000,창신제2동,종로구,48.88,12.3,204
1123070500,청량리동,동대문구,48.85,12.0,75
1168063000,대치4동,강남구,48.66,3.4,705
1168060000,대치1동,강남구,48.66,3.4,705
1168061000,대치2동,강남구,48.66,3.4,705
1111058000,교남동,종로구,48.16,5.1,117
1165058000,반포3동,서초구,48.06,11.0,109
1165054000,잠원동,서초구,48.06,11.0,109
1174069000,둔촌제1동,강동구,47.83,10.7,523
1174070000,둔촌제2동,강동구,47.83,10.7,523
1168074000,일원2동,강남구,47.71,2.5,2239
1168054500,압구정동,강남구,47.54,2.5,157
1168051000,신사동,강남구,47.54,2.5,157
1117059000,용문동,용산구,47.47,0.5,675
1168067000,개포2동,강남구,47.27,2.0,1534
1129076000,장위제1동,성북구,47.21,0.9,1407
1129078000,장위제3동,성북구,47.21,0.9,1407
1129077000,장위제2동,성북구,47.21,0.9,1407
1168056500,청담동,강남구,47.01,10.8,204
1144063000,신수동,마포구,45.85,2.2,677
1117058000,효창동,용산구,44.81,3.0,725
1117062500,한강로동,용산구,44.64,0.0,192
1111057000,무악동,종로구,44.3,0.0,2
1144058500,도화동,마포구,44.08,2.8,216
1144060000,대흥동,마포구,43.71,2.2,845
1117051000,후암동,용산구,43.05,1.2,1051
1121584700,자양제4동,광진구,42.97,2.1,2597
1121583000,자양제2동,광진구,42.97,2.1,2597
1121584000,자양제3동,광진구,42.97,2.1,2597
1121582000,자양제1동,광진구,42.97,2.1,2597
1144056500,공덕동,마포구,41.48,3.2,690
1117055500,청파동,용산구,41.33,0.5,1417
1144059000,용강동,마포구,41.24,4.7,1236
1120059000,금호1가동,성동구,41.02,2.8,72
1138064000,증산동,은평구,40.47,1.4,139
1123075000,이문제2동,동대문구,38.88,3.9,128
1123074000,이문제1동,동대문구,38.88,3.9,128
1117065000,이태원제1동,용산구,38.73,0.8,370
1117066000,이태원제2동,용산구,38.73,0.8,370
1168073000,일원1동,강남구,38.32,0.1,668
1168072000,일원본동,강남구,38.32,0.1,668
1144055500,아현동,마포구,37.38,5.5,955
1144061000,염리동,마포구,36.96,6.1,642
1168059000,삼성2동,강남구,36.45,1.8,448
1168058000,삼성1동,강남구,36.45,1.8,448
1117056000,원효로제1동,용산구,36.45,0.4,769
1159052000,노량진제2동,동작구,36.26,0.0,364
1159051000,노량진제1동,동작구,35.14,0.0,405
1117052000,용산2가동,용산구,35.11,0.9,341
1117057000,원효로제2동,용산구,34.6,0.0,561
1120058000,응봉동,성동구,31.95,4.1,147
1120065000,성수1가제1동,성동구,31.5,10.6,367
1120066000,성수1가제2동,성동구,31.5,10.6,367
1141055500,북아현동,서대문구,30.54,8.0,315
1120061500,금호2.3가동,성동구,29.4,2.4,214
1171055000,마천2동,송파구,28.13,2.3,894
1171054000,마천1동,송파구,28.13,2.3,894
1120062000,금호4가동,성동구,28.11,0.0,25
1153051000,신도림동,구로구,27.82,7.9,38
1141056500,충현동,서대문구,23.91,3.1,386
1120067000,성수2가제1동,성동구,22.74,3.1,385
1120069000,성수2가제3동,성동구,22.74,3.1,385
1117053000,남영동,용산구,21.24,0.0,102
1117064000,이촌제2동,용산구,18.73,0.0,66
1117063000,이촌제1동,용산구,18.73,0.0,66
1117069000,서빙고동,용산구,18.37,0.0,207
1117070000,보광동,용산구,6.48,0.0,21
1111054000,삼청동,종로구,6.41,0.0,1
