adm_cd,adm_nm,자치구,pop,area_km2,pop_density
1132070000,방학제2동,도봉구,18649.0,1.0919856081384876,17078.1
1132071000,방학제3동,도봉구,26171.0,1.9495498104886932,13424.1
1135056000,월계1동,노원구,20623.0,1.140714985330496,18079.0
1135057000,월계2동,노원구,25586.0,2.003761440963024,12769.0
1135058000,월계3동,노원구,28762.0,1.1332909394026158,25379.2
1135059500,공릉1동,노원구,36041.0,1.26229321209143,28552.0
1135060000,공릉2동,노원구,41668.0,6.97965133921439,5969.9
1135061100,하계1동,노원구,26295.0,1.5258904896010084,17232.6
1135061200,하계2동,노원구,21339.0,0.4996755922696115,42705.7
1135061900,중계본동,노원구,23079.0,2.181556338277089,10579.1
1135062100,중계1동,노원구,26357.0,0.6229729480024311,42308.4
1135062400,중계4동,노원구,19167.0,1.5181047984495022,12625.6
1135062500,중계2.3동,노원구,32588.0,0.9183804956780356,35484.2
1135063000,상계1동,노원구,37003.0,5.398483718208765,6854.3
1135064000,상계2동,노원구,19174.0,0.6226489470859548,30794.2
1135066500,상계3.4동,노원구,27462.0,5.207882552877278,5273.2
1135067000,상계5동,노원구,23072.0,0.9061132847280132,25462.6
1135069500,상계6.7동,노원구,31477.0,1.449153925187527,21721.0
1135070000,상계8동,노원구,21902.0,0.6658402351533523,32893.8
1135071000,상계9동,노원구,19683.0,0.7189792112597636,27376.3
1135072000,상계10동,노원구,18275.0,0.8085968920433795,22600.9
1138051000,녹번동,은평구,36151.0,1.7928885926640146,20163.6
1138052000,불광제1동,은평구,37536.0,3.122614191161749,12020.7
1138053000,불광제2동,은평구,26781.0,1.3950583150902642,19197.0
1138055100,갈현제1동,은평구,14595.0,0.9603643929415254,15197.4
1138055200,갈현제2동,은평구,27543.0,0.9844411030101792,27978.3
1138056000,구산동,은평구,31525.0,1.388754754128713,22700.2
1138057000,대조동,은평구,27332.0,0.8510647011472164,32115.1
1138058000,응암제1동,은평구,32677.0,1.1090438926085848,29464.1
1138059000,응암제2동,은평구,27366.0,0.7546903857188577,36261.2
1138060000,응암제3동,은평구,23513.0,0.752218723870843,31258.2
1138062500,역촌동,은평구,43933.0,1.156690831493452,37981.6
1138063100,신사제1동,은평구,26524.0,0.8077200241344538,32838.1
1138063200,신사제2동,은평구,18977.0,1.0454542618807765,18151.9
1138064000,증산동,은평구,18343.0,0.8071364694132803,22726.0
1138065000,수색동,은평구,19945.0,1.2889940882150197,15473.3
1138069000,진관동,은평구,54383.0,11.556755625063191,4705.7
1141052000,천연동,서대문구,16620.0,0.9820858037136796,16923.2
1141055500,북아현동,서대문구,15451.0,0.4586518813887063,33687.9
1141056500,충현동,서대문구,19678.0,1.1151712529589508,17645.7
1141058500,신촌동,서대문구,20359.0,2.718219868558421,7489.8
1141061500,연희동,서대문구,34107.0,2.9270882490316863,11652.2
1141062000,홍제제1동,서대문구,24758.0,1.2348334052704113,20049.7
1141064000,홍제제3동,서대문구,17730.0,1.2079916605318353,14677.3
1141065500,홍제제2동,서대문구,13198.0,0.6994577528954172,18868.9
1141066000,홍은제1동,서대문구,22216.0,1.5975731965686475,13906.1
1141068500,홍은제2동,서대문구,28613.0,2.073509617443637,13799.3
1141069000,남가좌제1동,서대문구,16702.0,0.4751864436371864,35148.3
1141070000,남가좌제2동,서대문구,29160.0,0.7830369802803475,37239.6
1141071000,북가좌제1동,서대문구,17596.0,0.5775550758424148,30466.4
1141072000,북가좌제2동,서대문구,30739.0,0.8243452242543763,37289.0
1144055500,아현동,마포구,28526.0,0.7482780870368088,38122.2
1144056500,공덕동,마포구,36584.0,1.0185226144623485,35918.7
1144058500,도화동,마포구,20615.0,0.624554471771684,33007.5
1144059000,용강동,마포구,21262.0,0.7900159470397212,26913.4
1144060000,대흥동,마포구,14489.0,0.8475704667223432,17094.7
1144061000,염리동,마포구,16834.0,0.4969641641472359,33873.7
1144063000,신수동,마포구,22129.0,0.7972896333683109,27755.3
1144065500,서강동,마포구,24553.0,1.4776937800864374,16615.8
1144066000,서교동,마포구,24091.0,1.6775346278278371,14361.0
1144068000,합정동,마포구,16392.0,1.7111313968054631,9579.6
1144069000,망원제1동,마포구,19157.0,1.1001982478879784,17412.3
1144070000,망원제2동,마포구,17994.0,0.6759150220603931,26621.7
1144071000,연남동,마포구,14284.0,0.6469627479165596,22078.6
1144072000,성산제1동,마포구,18575.0,0.8586227768147766,21633.5
1144073000,성산제2동,마포구,38772.0,1.977273316798634,19608.8
1144074000,상암동,마포구,29696.0,8.39629095398473,3536.8
1147051000,목1동,양천구,30278.0,1.43206814727914,21142.8
1147052000,목2동,양천구,29003.0,1.020612387401023,28417.3
1147053000,목3동,양천구,21284.0,0.5314639163368732,40047.9
1147054000,목4동,양천구,24504.0,0.5770737998581845,42462.5
1147055000,목5동,양천구,40679.0,1.7650737118870805,23046.6
1147056000,신월1동,양천구,19545.0,0.6219515840535602,31425.3
1147057000,신월2동,양천구,20834.0,0.606373176052303,34358.4
1147058000,신월3동,양천구,14390.0,0.9173797440192822,15686.0
1147059000,신월4동,양천구,17470.0,0.4695345178777235,37207.1
1147060000,신월5동,양천구,14080.0,0.6381084342484997,22065.2
1147061000,신월6동,양천구,13893.0,0.443965829853224,31292.9
1147061100,신월7동,양천구,18662.0,1.229742632944702,15175.5
1147062000,신정1동,양천구,19719.0,0.7470264143285434,26396.7
1147063000,신정2동,양천구,18864.0,0.5255164171944339,35896.1
1147064000,신정3동,양천구,49764.0,2.7545477312107387,18066.1
1147065000,신정4동,양천구,31942.0,0.9964213134420408,32056.7
1147067000,신정6동,양천구,23942.0,0.9402009535468376,25464.8
1147068000,신정7동,양천구,28346.0,1.23323441147065,22985.1
1150051000,염창동,강서구,41360.0,1.733196046375561,23863.4
1150052000,등촌제1동,강서구,24923.0,0.6502691617402474,38327.2
1150053000,등촌제2동,강서구,19420.0,0.910005509587704,21340.5
1150053500,등촌제3동,강서구,29496.0,1.0595965667506249,27837.0
1150054000,화곡제1동,강서구,51088.0,1.1966553716523989,42692.3
1150055000,화곡제2동,강서구,17141.0,0.4542915848018447,37731.3
1150056000,화곡제3동,강서구,21148.0,0.5214442467792646,40556.6
