adm_cd,adm_nm,자치구,S_JVWI,dagagu_count,new_density,전세가율,고전세가율비율,공시지가대비전세가괴리,officetel_share,pop_density,n_dagagu_count,n_new_density,n_전세가율,n_고전세가율비율,n_공시지가대비전세가괴리,n_officetel_share,n_pop_density
1150054000,화곡제1동,강서구,43.92,287,33.32,81.29,39.4,1.599,0.234,42692.3,0.2510936132983377,0.1798650472334683,0.7679212388472978,0.5288590604026846,0.3418049993767494,0.3514041147319417,0.8520411120148526
1111063000,종로5.6가동,종로구,43.82,104,8.3,82.35,66.8,1.4731,0.6475,8952.9,0.09098862642169729,0.04480431848852902,0.7787919187775613,0.8966442953020134,0.289839944328462,0.9723682234569754,0.17777768895799068
1153077000,오류제1동,구로구,43.76,194,41.26,77.09,34.1,1.8895,0.424,31293.5,0.16972878390201224,0.2227260458839406,0.7248487334632345,0.45771812080536917,0.4617084822324087,0.6367322420783901,0.6242423394599003
1126052000,면목제2동,중랑구,43.69,768,52.02,65.39,12.6,1.9844,0.0646,31076.5,0.6719160104986877,0.2808097165991903,0.6048610398933443,0.16912751677852347,0.5008783291274244,0.09701156329779247,0.6199057133550098
1114067000,황학동,중구,43.41,23,9.14,82.76,53.6,1.2567,0.6245,38612.5,0.020122484689413824,0.0493387314439946,0.7829966157317199,0.7194630872483222,0.20052113644562317,0.937828502778195,0.7705085443524937
1120079000,용답동,성동구,43.29,476,30.73,69.5,26.1,2.2012,0.5019,5053.6,0.41644794400699914,0.16588394062078274,0.6470105630191775,0.3503355704697987,0.5903622364703054,0.7537167742904339,0.09985231489900857
1150059000,화곡본동,강서구,43.28,287,41.04,81.29,39.4,1.599,0.234,34001.1,0.2510936132983377,0.22153846153846155,0.7679212388472978,0.5288590604026846,0.3418049993767494,0.3514041147319417,0.6783522419557584
1162069500,신림동,관악구,43.2,400,61.02,73.58,23.7,1.4996,0.2016,42483.9,0.34995625546806647,0.3293927125506073,0.6888524253922674,0.3181208053691275,0.3007777835562588,0.3027481603844421,0.84787635219799
1126059000,상봉제2동,중랑구,43.15,334,51.7,74.21,36.0,1.8564,0.1879,30099.3,0.2922134733158355,0.27908232118758436,0.6953133011998769,0.48322147651006714,0.44804650191391543,0.28217450067577715,0.6003769067665357
1156053500,영등포동,영등포구,43.09,366,11.3,72.05,43.3,1.3308,0.5999,22281.3,0.32020997375328086,0.06099865047233469,0.6731617270023587,0.5812080536912752,0.23110581141844366,0.9008860189217599,0.44413846027790377
1171053200,거여2동,송파구,42.92,124,185.25,46.37,7.4,1.6697,0.1416,46376.5,0.1084864391951006,1.0,0.40980412265408667,0.09932885906040269,0.3709863289392111,0.21264454122240575,0.9256678304279271
1126055000,면목제5동,중랑구,42.45,768,56.31,65.39,12.6,1.9844,0.0646,20736.9,0.6719160104986877,0.3039676113360324,0.6048610398933443,0.16912751677852347,0.5008783291274244,0.09701156329779247,0.4132744724604258
1154570000,시흥제4동,금천구,42.25,674,28.5,70.25,24.3,1.7281,0.1863,23827.6,0.5896762904636921,0.15384615384615385,0.6547020818377602,0.3261744966442953,0.3950908501053746,0.2797717374981228,0.4750404185543647
1150057000,화곡제4동,강서구,42.13,287,46.83,81.29,39.4,1.599,0.234,23274.9,0.2510936132983377,0.25279352226720647,0.7679212388472978,0.5288590604026846,0.3418049993767494,0.3514041147319417,0.4639950118807568
1123066000,장안제2동,동대문구,42.03,287,34.14,70.36,33.0,1.638,0.4105,32716.9,0.2510936132983377,0.1842914979757085,0.6558301712644857,0.4429530201342282,0.35790219673086543,0.6164589277669319,0.6526882085737297
1150061500,우장산동,강서구,41.99,358,41.15,75.85,33.0,1.6221,0.1963,34736.1,0.3132108486439195,0.22213225371120107,0.712132089016511,0.4429530201342282,0.35133949319418745,0.2947890073584622,0.6930408142465162
1126054000,면목제4동,중랑구,41.7,768,47.06,65.39,12.6,1.9844,0.0646,21631.0,0.6719160104986877,0.2540350877192983,0.6048610398933443,0.16912751677852347,0.5008783291274244,0.09701156329779247,0.4311425710797
1126058000,상봉제1동,중랑구,41.65,334,41.03,74.21,36.0,1.8564,0.1879,27232.9,0.2922134733158355,0.22148448043184885,0.6953133011998769,0.48322147651006714,0.44804650191391543,0.28217450067577715,0.5430934732777899
1153059500,가리봉동,구로구,41.6,396,99.83,62.55,25.2,1.4609,0.2029,21383.1,0.3464566929133858,0.5388933873144399,0.5757358219669777,0.33825503355704695,0.28480441079717445,0.3047004054662862,0.4261884254050349
