법정동코드,동이름,자치구,전세가율,고전세가율비율,거래건수
11170_효창동,효창동,용산구,44.81,3.0,725
11110_사직동,사직동,종로구,44.8,5.6,18
11170_산천동,산천동,용산구,44.43,0.0,14
11110_무악동,무악동,종로구,44.3,0.0,2
11440_대흥동,대흥동,마포구,43.23,3.2,311
11170_후암동,후암동,용산구,43.05,1.2,1051
11215_자양동,자양동,광진구,42.97,2.1,2597
11440_공덕동,공덕동,마포구,42.01,0.0,139
11560_당산동2가,당산동2가,영등포구,41.42,50.0,2
11200_금호동1가,금호동1가,성동구,41.02,2.8,72
11440_노고산동,노고산동,마포구,41.02,1.4,277
11440_상수동,상수동,마포구,40.58,4.0,199
11380_증산동,증산동,은평구,40.47,1.4,139
11530_온수동,온수동,구로구,40.22,18.0,183
11170_원효로2가,원효로2가,용산구,40.11,1.1,189
11170_청파동1가,청파동1가,용산구,39.76,0.0,555
11560_영등포동,영등포동,영등포구,39.76,1.0,105
11170_청파동2가,청파동2가,용산구,38.91,1.3,238
11230_이문동,이문동,동대문구,38.88,3.9,128
11140_중림동,중림동,중구,38.77,3.8,53
11170_이태원동,이태원동,용산구,38.73,0.8,370
11440_당인동,당인동,마포구,38.59,1.5,68
11170_신창동,신창동,용산구,38.42,0.0,150
11680_일원동,일원동,강남구,38.32,0.1,668
11440_아현동,아현동,마포구,38.26,4.2,313
11410_충정로2가,충정로2가,서대문구,38.1,35.7,14
11170_원효로4가,원효로4가,용산구,36.86,0.0,177
11440_도화동,도화동,마포구,36.53,0.0,175
11680_삼성동,삼성동,강남구,36.45,1.8,448
11590_노량진동,노량진동,동작구,36.26,0.0,364
11440_염리동,염리동,마포구,35.56,7.8,503
11200_금호동2가,금호동2가,성동구,35.22,10.5,38
11170_용산동2가,용산동2가,용산구,35.11,0.9,341
11170_서빙고동,서빙고동,용산구,34.11,0.0,74
11170_원효로1가,원효로1가,용산구,32.32,0.2,486
11200_응봉동,응봉동,성동구,31.95,4.1,147
11200_성수동1가,성수동1가,성동구,31.5,10.6,367
11170_원효로3가,원효로3가,용산구,29.56,0.0,220
11170_동자동,동자동,용산구,29.38,0.0,33
11170_서계동,서계동,용산구,28.19,0.0,192
11200_금호동3가,금호동3가,성동구,28.14,0.6,176
11710_마천동,마천동,송파구,28.13,2.3,894
11200_금호동4가,금호동4가,성동구,28.11,0.0,25
11530_신도림동,신도림동,구로구,27.82,7.9,38
11590_본동,본동,동작구,25.23,0.0,41
11410_북아현동,북아현동,서대문구,25.1,2.4,296
11200_성수동2가,성수동2가,성동구,22.74,3.1,385
11170_이촌동,이촌동,용산구,18.73,0.0,66
11170_갈월동,갈월동,용산구,17.35,0.0,69
11410_충정로3가,충정로3가,서대문구,16.68,0.0,76
11170_한강로3가,한강로3가,용산구,11.99,0.0,23
11170_동빙고동,동빙고동,용산구,10.55,0.0,105
11170_보광동,보광동,용산구,6.48,0.0,21
11110_삼청동,삼청동,종로구,6.41,0.0,1
11170_주성동,주성동,용산구,6.1,0.0,28
