adm_cd,adm_nm,youth_ratio,gongsi_per_m2
1171061000,삼전동,0.3812613726096062,8095934
1171062000,가락본동,0.3181206459784674,7014766
1171063100,가락1동,0.2679733808502127,7014766
1171063200,가락2동,0.2761291974775121,7014766
1171064100,문정1동,0.31425359022844584,6278127
1171064200,문정2동,0.4174861868853598,4877570
1171064600,장지동,0.27853065798228105,4877570
1171064700,위례동,0.2471398942931692,3643190
1171065000,잠실본동,0.4016995535071295,8577818
1171067000,잠실2동,0.18822720238436408,8577818
1171068000,잠실3동,0.2096098223245381,8577818
1171069000,잠실4동,0.2027128862094951,5136369
1171071000,잠실6동,0.22531276569901615,5136369
1171072000,잠실7동,0.21763085399449036,8577818
1174051500,강일동,0.22935132648366816,2211872
1174053000,명일1동,0.257052548399842,5310519
1174054000,명일2동,0.2321927374301676,5310519
1174055000,고덕1동,0.18520371992159806,2956940
1174056000,고덕2동,0.24187535634402,2956940
1174057000,암사1동,0.2725712933380665,3451331
1174058000,암사2동,0.2958731012232827,3451331
1174059000,암사3동,0.2229358328993809,3451331
1174060000,천호1동,0.2750143815915628,5019144
1174061000,천호2동,0.3249415408910079,5019144
1174062000,천호3동,0.356615537620013,5019144
1174064000,성내1동,0.2817733484023425,5110333
1174065000,성내2동,0.35021875268079267,5110333
1174066000,성내3동,0.2937196777495883,5110333
1174068500,길동,0.3020464824683176,5035104
1174069000,둔촌1동,0.28846153846153844,3166945
1174070000,둔촌2동,0.28103363006923837,3166945
