adm_cd,adm_nm,자치구,전세가율,고전세가율비율,jeonse_per_m2,거래건수
1135070000,상계8동,노원구,48.97,1.8,461.6,10388
1135071000,상계9동,노원구,48.97,1.8,461.6,10388
1135066500,상계3.4동,노원구,48.97,1.8,461.6,10388
1135064000,상계2동,노원구,48.97,1.8,461.6,10388
1135072000,상계10동,노원구,48.97,1.8,461.6,10388
1171058000,송파1동,송파구,48.88,6.4,739.31,2501
1171059000,송파2동,송파구,48.88,6.4,739.31,2501
1120056000,행당제1동,성동구,48.72,2.8,895.15,2261
1120057000,행당제2동,성동구,48.72,2.8,895.15,2261
1159052000,노량진제2동,동작구,48.64,13.3,789.1,1229
1165065100,양재1동,서초구,48.59,4.6,713.63,4902
1144055500,아현동,마포구,47.99,9.1,1005.68,5386
1144059000,용강동,마포구,47.98,4.3,922.41,4798
1144063000,신수동,마포구,47.52,1.2,955.79,2390
1121582000,자양제1동,광진구,47.39,3.3,838.24,5099
1121584000,자양제3동,광진구,47.39,3.3,838.24,5099
1121583000,자양제2동,광진구,47.39,3.3,838.24,5099
1121584700,자양제4동,광진구,47.39,3.3,838.24,5099
1159051000,노량진제1동,동작구,47.14,8.6,774.41,1903
1117058000,효창동,용산구,46.95,1.9,920.49,1138
1141056500,충현동,서대문구,46.93,5.6,820.21,1921
1120054000,마장동,성동구,46.88,4.0,670.19,756
1120062000,금호4가동,성동구,46.84,0.0,1005.59,842
1135058000,월계3동,노원구,46.61,0.8,490.85,3470
1135057000,월계2동,노원구,46.61,0.8,490.85,3470
1135056000,월계1동,노원구,46.61,0.8,490.85,3470
1150060500,가양제3동,강서구,46.46,9.6,658.7,3171
1150060400,가양제2동,강서구,46.46,9.6,658.7,3171
1171053200,거여2동,송파구,46.37,7.4,728.39,3120
1171053100,거여1동,송파구,46.37,7.4,728.39,3120
1165066000,내곡동,서초구,46.24,6.4,772.67,1393
1168065600,도곡2동,강남구,45.71,2.4,1179.43,2560
1168065500,도곡1동,강남구,45.71,2.4,1179.43,2560
1121581000,광장동,광진구,45.34,1.9,843.72,1717
1117059000,용문동,용산구,45.23,0.3,824.81,1004
1174056000,고덕제2동,강동구,44.93,0.0,932.73,3336
1174055000,고덕제1동,강동구,44.93,0.0,932.73,3336
1147064000,신정3동,양천구,44.71,3.7,658.75,8753
1147067000,신정6동,양천구,44.71,3.7,658.75,8753
1147068000,신정7동,양천구,44.71,3.7,658.75,8753
1147063000,신정2동,양천구,44.71,3.7,658.75,8753
1147062000,신정1동,양천구,44.71,3.7,658.75,8753
1147065000,신정4동,양천구,44.71,3.7,658.75,8753
1168070000,세곡동,강남구,44.39,15.9,710.33,2883
1120061500,금호2.3가동,성동구,44.1,0.4,862.3,1308
1117055500,청파동,용산구,43.61,5.0,795.2,1509
1159060500,흑석동,동작구,43.53,0.4,919.66,2029
1171064700,위례동,송파구,43.32,3.7,760.87,6164
1117051000,후암동,용산구,43.3,1.1,680.41,1164
1168058000,삼성1동,강남구,42.9,6.2,1127.76,2061
1168059000,삼성2동,강남구,42.9,6.2,1127.76,2061
1174054000,명일제2동,강동구,42.8,9.0,704.82,2776
1174053000,명일제1동,강동구,42.8,9.0,704.82,2776
1120064500,옥수동,성동구,41.81,0.6,973.74,1900
1120058000,응봉동,성동구,41.08,0.1,667.15,932
1117057000,원효로제2동,용산구,40.6,0.5,789.8,1305
1168063000,대치4동,강남구,40.4,5.1,1131.78,4461
1168061000,대치2동,강남구,40.4,5.1,1131.78,4461
1168060000,대치1동,강남구,40.4,5.1,1131.78,4461
1174052000,상일동,강동구,40.19,0.2,778.01,3265
1120065000,성수1가제1동,성동구,40.05,5.2,1055.63,2086
1120066000,성수1가제2동,성동구,40.05,5.2,1055.63,2086
1165058100,반포4동,서초구,39.97,1.1,1501.81,4503
1165057000,반포2동,서초구,39.97,1.1,1501.81,4503
1165056000,반포1동,서초구,39.97,1.1,1501.81,4503
1165055000,반포본동,서초구,39.97,1.1,1501.81,4503
1174051500,강일동,강동구,39.42,1.5,628.56,6373
1168074000,일원2동,강남구,38.68,2.4,1130.0,11860
1168072000,일원본동,강남구,38.61,0.4,1052.45,4146
1168073000,일원1동,강남구,38.61,0.4,1052.45,4146
1171067000,잠실2동,송파구,38.24,3.6,1086.66,6216
1171068000,잠실3동,송파구,38.24,3.6,1086.66,6216
1171072000,잠실7동,송파구,38.24,3.6,1086.66,6216
1171065000,잠실본동,송파구,38.24,3.6,1086.66,6216
1171069000,잠실4동,송파구,37.85,0.2,1060.0,2485
1171071000,잠실6동,송파구,37.85,0.2,1060.0,2485
1168067000,개포2동,강남구,37.64,0.8,1128.93,7399
1156054000,여의동,영등포구,37.62,9.9,827.07,2218
1168075000,수서동,강남구,37.4,0.9,949.65,1738
1165054000,잠원동,서초구,37.11,0.5,1306.3,4105
1165058000,반포3동,서초구,37.11,0.5,1306.3,4105
1168066000,개포1동,강남구,36.74,1.1,1130.04,4991
1168069000,개포4동,강남구,36.74,1.1,1130.04,4991
1117066000,이태원제2동,용산구,36.24,1.0,726.43,613
1117065000,이태원제1동,용산구,36.24,1.0,726.43,613
1117052000,용산2가동,용산구,35.4,0.8,494.76,363
1120069000,성수2가제3동,성동구,32.3,6.1,772.45,1212
1120067000,성수2가제1동,성동구,32.3,6.1,772.45,1212
1171055000,마천2동,송파구,31.39,1.5,441.41,1512
1171054000,마천1동,송파구,31.39,1.5,441.41,1512
1117064000,이촌제2동,용산구,31.08,0.1,884.24,2364
1117063000,이촌제1동,용산구,31.08,0.1,884.24,2364
1117069000,서빙고동,용산구,22.14,0.2,679.71,429
1168051000,신사동,강남구,21.86,0.4,878.64,1936
1168054500,압구정동,강남구,21.86,0.4,878.64,1936
1117070000,보광동,용산구,14.35,0.0,637.08,127
1111054000,삼청동,종로구,6.41,0.0,55.76,1
