adm_cd,adm_nm,자치구,villa_total,newvilla_count,newvilla_ratio,area_km2,newvilla_density
1159053000,상도제1동,동작구,2136,84,0.0393,1.4814,56.7
1150064000,방화제2동,강서구,612,24,0.0392,6.1531,3.9
1165062000,방배3동,서초구,1537,60,0.039,2.3733,25.28
1165061000,방배2동,서초구,1537,60,0.039,1.9026,31.54
1165060000,방배1동,서초구,1537,60,0.039,0.6887,87.12
1165059000,방배본동,서초구,1537,60,0.039,0.677,88.63
1165062100,방배4동,서초구,1537,60,0.039,0.9488,63.24
1171061000,삼전동,송파구,979,38,0.0388,0.9526,39.89
1147068000,신정7동,양천구,1119,43,0.0384,1.2332,34.87
1147067000,신정6동,양천구,1119,43,0.0384,0.9402,45.73
1147065000,신정4동,양천구,1119,43,0.0384,0.9964,43.16
1147064000,신정3동,양천구,1119,43,0.0384,2.7545,15.61
1147063000,신정2동,양천구,1119,43,0.0384,0.5255,81.83
1147062000,신정1동,양천구,1119,43,0.0384,0.747,57.56
1130561500,수유1동,강북구,2328,89,0.0382,1.6487,53.98
1130563500,수유3동,강북구,2328,89,0.0382,0.7451,119.45
1130566000,인수동,강북구,2328,89,0.0382,2.9957,29.71
1130562500,수유2동,강북구,2328,89,0.0382,0.5812,153.13
1150061100,발산제1동,강서구,687,26,0.0378,2.8856,9.01
1132071000,방학제3동,도봉구,820,31,0.0378,1.9495,15.9
1132070000,방학제2동,도봉구,820,31,0.0378,1.092,28.39
1132069000,방학제1동,도봉구,820,31,0.0378,1.0401,29.8
1138056000,구산동,은평구,693,26,0.0375,1.3888,18.72
1174057000,암사제1동,강동구,722,27,0.0374,0.7349,36.74
1153074000,개봉제1동,구로구,1231,46,0.0374,1.3193,34.87
1153075000,개봉제2동,구로구,1231,46,0.0374,0.7819,58.83
1174058000,암사제2동,강동구,722,27,0.0374,2.1726,12.43
1174059000,암사제3동,강동구,722,27,0.0374,1.798,15.02
1153076000,개봉제3동,구로구,1231,46,0.0374,0.8278,55.57
1174068500,길동,강동구,458,17,0.0371,1.6303,10.43
1111065000,혜화동,종로구,377,14,0.0371,1.1317,12.37
1114059000,광희동,중구,27,1,0.037,0.7367,1.36
1168052100,논현1동,강남구,780,28,0.0359,1.2578,22.26
1168053100,논현2동,강남구,780,28,0.0359,1.4574,19.21
1129062000,정릉제1동,성북구,1656,58,0.035,0.4117,140.88
1135072000,상계10동,노원구,1157,40,0.0346,0.8086,49.47
1135070000,상계8동,노원구,1157,40,0.0346,0.6658,60.08
1135064000,상계2동,노원구,1157,40,0.0346,0.6226,64.25
1135071000,상계9동,노원구,1157,40,0.0346,0.719,55.63
1135069500,상계6.7동,노원구,1157,40,0.0346,1.4492,27.6
1135063000,상계1동,노원구,1157,40,0.0346,5.3985,7.41
1135066500,상계3.4동,노원구,1157,40,0.0346,5.2079,7.68
1135067000,상계5동,노원구,1157,40,0.0346,0.9061,44.15
1129057500,동선동,성북구,349,12,0.0344,0.7243,16.57
1126056500,면목본동,중랑구,1194,41,0.0343,0.8484,48.33
1126057000,면목제7동,중랑구,1194,41,0.0343,1.2345,33.21
1126055000,면목제5동,중랑구,1194,41,0.0343,0.7044,58.21
1126052000,면목제2동,중랑구,1194,41,0.0343,0.7625,53.77
