adm_cd,adm_nm,자치구,S_JVWI,구피해,cluster,cluster_label
1150060400,가양제2동,강서구,19.89,1627,2,저위험형
1117062500,한강로동,용산구,19.76,4,6,오피스텔밀집형
1135067000,상계5동,노원구,19.57,22,2,저위험형
1165056000,반포1동,서초구,19.54,29,2,저위험형
1120065000,성수1가제1동,성동구,19.48,25,2,저위험형
1168073000,일원1동,강남구,19.46,68,4,공시지가괴리형
1135061900,중계본동,노원구,19.44,22,4,공시지가괴리형
1120064500,옥수동,성동구,19.42,25,4,공시지가괴리형
1168075000,수서동,강남구,19.36,68,4,공시지가괴리형
1111067000,창신제1동,종로구,19.26,34,2,저위험형
1174054000,명일제2동,강동구,19.24,241,2,저위험형
1135072000,상계10동,노원구,19.22,22,2,저위험형
1135056000,월계1동,노원구,19.08,22,4,공시지가괴리형
1135062400,중계4동,노원구,18.78,22,2,저위험형
1171062000,가락본동,송파구,18.77,198,2,저위험형
1117065000,이태원제1동,용산구,18.76,4,2,저위험형
1168067000,개포2동,강남구,18.75,68,4,공시지가괴리형
1135069500,상계6.7동,노원구,18.65,22,2,저위험형
1168059000,삼성2동,강남구,18.47,68,2,저위험형
1135057000,월계2동,노원구,18.01,22,4,공시지가괴리형
1165065200,양재2동,서초구,17.9,29,2,저위험형
1171054000,마천1동,송파구,17.73,198,2,저위험형
1165065100,양재1동,서초구,17.58,29,2,저위험형
1171063100,가락1동,송파구,17.5,198,2,저위험형
1168060000,대치1동,강남구,17.41,68,2,저위험형
1168065600,도곡2동,강남구,17.35,68,2,저위험형
1117066000,이태원제2동,용산구,17.32,4,2,저위험형
1168063000,대치4동,강남구,17.21,68,2,저위험형
1165061000,방배2동,서초구,16.95,29,2,저위험형
1171069000,잠실4동,송파구,16.8,198,4,공시지가괴리형
1168069000,개포4동,강남구,16.68,68,4,공시지가괴리형
1168072000,일원본동,강남구,16.64,68,4,공시지가괴리형
1171065000,잠실본동,송파구,16.42,198,2,저위험형
1165062000,방배3동,서초구,16.32,29,2,저위험형
1168056500,청담동,강남구,16.24,68,2,저위험형
1120067000,성수2가제1동,성동구,16.22,25,2,저위험형
1135063000,상계1동,노원구,15.87,22,2,저위험형
1120069000,성수2가제3동,성동구,15.79,25,2,저위험형
1171055000,마천2동,송파구,15.69,198,2,저위험형
1135066500,상계3.4동,노원구,15.62,22,2,저위험형
1165057000,반포2동,서초구,15.51,29,2,저위험형
1168066000,개포1동,강남구,15.4,68,4,공시지가괴리형
1171068000,잠실3동,송파구,15.36,198,2,저위험형
1168065500,도곡1동,강남구,15.18,68,2,저위험형
1168061000,대치2동,강남구,15.16,68,2,저위험형
1165058100,반포4동,서초구,15.11,29,2,저위험형
1168058000,삼성1동,강남구,14.95,68,2,저위험형
